"","mean","se","p","lower_0.99","upper_0.99","lower_0.95","upper_0.95","lower_0.9","upper_0.9","lower_0.99_q","lower_0.95_q","lower_0.9_q","upper_0.9_q","upper_0.95_q","upper_0.99_q","SiteName","group_name","group_num","Rhat","Rhat_upper_CI","parameter","grouping","Period"
"1767",-0.178218222589226,0.186654591015055,0.159,-0.621616175431585,0.389158047466303,-0.526236905683035,0.22165328003758,-0.479467005529036,0.1328638290526,-0.648368251063979,-0.521416744159021,-0.46109260397234,0.152055205295654,0.239125506616342,0.372001682262018,NA,"Agulhas Bank",NA,1.00125420157578,1.00262725205004,"mean_slope","Ecoregion","1900-2015"
"1768",-0.11541877381419,0.0112884700630472,0,-0.145287360429179,-0.0871056144980047,-0.13798031757894,-0.0953470836969754,-0.132679370096077,-0.0961056359487869,-0.144152291560924,-0.137389582316134,-0.134406258237516,-0.0972483813747335,-0.0939229458402458,-0.0850622503791887,NA,"Aleutian Islands",NA,1.0034176277669,1.01906629477626,"mean_slope","Ecoregion","1900-2015"
"1769",-0.0142578432350237,0.00978997948605699,0.072,-0.0389907084977601,0.00973101188537144,-0.0333668833235673,0.00535797627975598,-0.0298505671383022,0.00248824174342235,-0.0393400810974489,-0.0340202788304218,-0.0307255769129405,0.00182655716004835,0.00487918720068566,0.00947486024764081,NA,"Bassian",NA,1.00060455467343,1.0010390939978,"mean_slope","Ecoregion","1900-2015"
"1770",0.0329937850908832,0.358478444820042,0.5415,-0.905669079899542,0.953839907120964,-0.735335230981643,0.699214552197888,-0.553703627183002,0.624834285616799,-0.903109415505712,-0.677911463596327,-0.565799529094577,0.613420683548476,0.763900494725264,0.966765900735821,NA,"Beaufort Sea",NA,1.00692199171027,1.03474970297822,"mean_slope","Ecoregion","1900-2015"
"1771",0.0193464106090471,0.0148285720413525,0.9085,-0.016702808868798,0.0557758079311999,-0.0113118122072734,0.0472871732067726,-0.00532733268627607,0.0432782159260635,-0.016059901437131,-0.0108804499577315,-0.00500959200133611,0.0436997368123708,0.0478541900467035,0.0567985410681236,NA,"Cape Howe",NA,1.00299493271483,1.00313881661968,"mean_slope","Ecoregion","1900-2015"
"1772",-0.0154007296753083,0.0158554317195902,0.163,-0.0539478413433083,0.0300508807587706,-0.0460525231881527,0.0151130611351787,-0.0402183534152923,0.0117688431586794,-0.0561955191377846,-0.0457586337990757,-0.0412795545353275,0.0111756948384258,0.0164035490215366,0.0281282403196695,NA,"Celtic Seas",NA,1.00086086232223,1.00591516683004,"mean_slope","Ecoregion","1900-2015"
"1773",-0.208101381696784,0.115783265155511,0.0395,-0.501605871118956,0.0845268301621344,-0.432382814454285,0.0144076470717729,-0.399772484259561,-0.0252797940550819,-0.501649121032646,-0.429052453480095,-0.393857470388502,-0.0168685009930708,0.0225988127343831,0.0839825222994535,NA,"Central Chile",NA,1.00167829743923,1.01227471396793,"mean_slope","Ecoregion","1900-2015"
"1774",0.0414300892802253,0.0515342030464999,0.8005,-0.0913229044020622,0.180113310714596,-0.0516852897981988,0.154031575655432,-0.0455327909061082,0.123679711644497,-0.0913363533037476,-0.0576839942234586,-0.0418618400984673,0.130637111985394,0.149614781452252,0.179090588512882,NA,"Gulf of Alaska",NA,1.00380033234867,1.00383608184228,"mean_slope","Ecoregion","1900-2015"
"1775",-0.0215723551355771,0.0312400273103888,0.2465,-0.099882779407908,0.0574420469415279,-0.0851024501961966,0.0375794835686606,-0.0760458638963114,0.0257955143889101,-0.10438701076827,-0.0842411158162792,-0.0738063276090906,0.0287570863123,0.0385226568084547,0.0560295148133295,NA,"Gulf of Maine",NA,1.00893326720439,1.04569255539707,"mean_slope","Ecoregion","1900-2015"
"1776",0.0713773980565366,0.0721044314503869,0.8435,-0.120960285038845,0.280089614387456,-0.0616377301238929,0.213792552256179,-0.037218790501174,0.188705492727106,-0.130048280765672,-0.0602317122785827,-0.0418336971017747,0.184863202613711,0.215112646197296,0.274342678491577,NA,"Gulf of St. Lawrence",NA,1.00055793157696,1.00653514671593,"mean_slope","Ecoregion","1900-2015"
"1777",0.022212970311577,0.0238680025965621,0.8345,-0.040715859941832,0.0777867678236522,-0.0246004170417721,0.0681916893325613,-0.0144494578279534,0.0645926064045636,-0.0407195133132646,-0.0261292630184138,-0.0186179621137039,0.0615484078350009,0.0670951021334163,0.0775397511823094,NA,"Houtman",NA,1.00425830752242,1.02446663924765,"mean_slope","Ecoregion","1900-2015"
"1778",-0.130631890327376,0.0854631568697469,0.0715,-0.33058908263382,0.118254644687846,-0.311276762925499,0.0259346669587643,-0.259293561756406,0.0199505979361496,-0.346793770335805,-0.296789768121122,-0.267001702684784,0.015215034876196,0.05394526340364,0.104823510004093,NA,"Humboldtian",NA,0.999672936924398,0.999704246217967,"mean_slope","Ecoregion","1900-2015"
"1779",0.0105636902059353,0.052344580296494,0.585,-0.133242332981178,0.140414831470057,-0.0968787012982239,0.112150423583303,-0.073506834051652,0.0986496899515005,-0.135808355100976,-0.096199472082763,-0.0772391291331231,0.0954302005650725,0.113389448676741,0.137804733830561,NA,"Leeuwin",NA,1.00027246088099,1.00305339027935,"mean_slope","Ecoregion","1900-2015"
