"mean","se","p","lower_0.99","upper_0.99","lower_0.95","upper_0.95","lower_0.9","upper_0.9","lower_0.99_q","lower_0.95_q","lower_0.9_q","upper_0.9_q","upper_0.95_q","upper_0.99_q","SiteName","group_name","group_num","study_num","Rhat","Rhat_upper_CI","parameter","grouping","Period"
0.0744117574159836,0.0576583932648088,0.91775,-0.0678592556644369,0.232714003014863,-0.0312615833042008,0.194780145441199,-0.0196773133913133,0.168542242073505,-0.0678676465122033,-0.0317969006405389,-0.0145529147651653,0.175706908282122,0.194476656305429,0.23254880154573,"Anderson_etal_ 2006-Surf Bay-13-1:Anderson_etal_ 2006","Namaqua",14,1,1.026995847154,1.06390036235454,"site_slope","Ecoregion","1900-2015"
0.0376837669818002,0.0644925932401581,0.70775,-0.129121867770933,0.173573467295913,-0.0833105159302985,0.138063280231302,-0.0621207031026021,0.127159674369702,-0.124787387838882,-0.0828815099316859,-0.0679963215131349,0.123686794943747,0.139204054265488,0.17632517754712,"Andrew_1991-2-13-3:Andrew_1991","Manning-Hawkesbury",13,2,1.14666109408085,1.38441271587066,"site_slope","Ecoregion","1900-2015"
0.00371206852241715,0.0568572095776834,0.48875,-0.144441602461254,0.157098752294058,-0.104541883275762,0.123791036375862,-0.0858857788335818,0.104703696101928,-0.144447712583809,-0.114383898852759,-0.0939749694920846,0.0995359175325285,0.118146014793924,0.156959895713225,"Andrew_1991-4-13-5:Andrew_1991","Manning-Hawkesbury",13,2,1.01698124308769,1.03062288701395,"site_slope","Ecoregion","1900-2015"
-0.0598414904590116,0.0578732323620907,0.1275,-0.210580768625893,0.0863786563546191,-0.170772369036867,0.0579900339738807,-0.156664445117479,0.0323470074444901,-0.209955694323183,-0.176076349315629,-0.15846087831372,0.0312148105806607,0.0555459942019476,0.0863888387444282,"Andrew_Jones_1990-Sydney_2-13-8:Andrew_Jones_1990","Manning-Hawkesbury",13,3,1.01736289073735,1.04497349414049,"site_slope","Ecoregion","1900-2015"
-0.0114360855131312,0.0323530238468336,0.343,-0.0946722265802291,0.0824376360661156,-0.0741296428869511,0.0516520648529251,-0.0568569208448323,0.0469185928948249,-0.0980937547584108,-0.0706035984323421,-0.0605869914541464,0.0439861839287736,0.0564817298330358,0.0795689147987914,"Aus_Marmion-Marmion-13-9:Aus_Marmion","Houtman",10,4,1.01999787621415,1.05791262885814,"site_slope","Ecoregion","1900-2015"
-0.00370048272949603,0.0349063383631534,0.438,-0.0869409596234697,0.099080774410769,-0.0702612700338973,0.0649326077128754,-0.055857022525702,0.0544615320411366,-0.0911330791079619,-0.0670676815415629,-0.0546778263993149,0.0561326365356325,0.0690266243829004,0.0968488251234192,"Australia_WA_Wernberg-SH3-18-1:Australia_WA_Wernberg","Leeuwin",12,5,1.04140227364101,1.11990565926394,"site_slope","Ecoregion","1900-2015"
0.01484032040286,0.0348378441604872,0.61775,-0.073191545551821,0.114896198714481,-0.0489882209063631,0.0855543279558956,-0.0362704807794175,0.0741822520692311,-0.0794055437217655,-0.04886012816759,-0.0376480385547346,0.0728528018621669,0.0855577801310808,0.111422505760056,"Australia_WA_Wernberg-SH4-18-2:Australia_WA_Wernberg","Leeuwin",12,5,1.01170736774592,1.03053884000517,"site_slope","Ecoregion","1900-2015"
0.00689778883396352,0.03445385641314,0.63025,-0.0851782497753881,0.101058397419321,-0.0626177682095685,0.0792937507865307,-0.0527741493096575,0.0636805532577707,-0.0853429085647459,-0.0688023157906491,-0.052215300305847,0.0642609150645788,0.0758280521072853,0.10025778763724,"Australia_WA_Wernberg-SH5-18-3:Australia_WA_Wernberg","Leeuwin",12,5,1.01864269358752,1.02589975485365,"site_slope","Ecoregion","1900-2015"
-0.0134692846430098,0.0317443881757781,0.31075,-0.0939320272094611,0.0725132994388112,-0.0745883508263288,0.0520993122716568,-0.06505002236078,0.039676361056439,-0.0939335850016953,-0.0739207303616676,-0.0633708417239893,0.0422373094643376,0.0529489115308137,0.0723499681882752,"Australia_WA_Wernberg-SJ1-18-4:Australia_WA_Wernberg","Houtman",10,5,1.01506228621567,1.03201663435673,"site_slope","Ecoregion","1900-2015"
0.00490739248356384,0.0343266571127855,0.5375,-0.0685776771559439,0.0927446964576718,-0.0513940533495855,0.0728904033003877,-0.0434638153413354,0.0586349699281774,-0.0680438992713669,-0.0495644632162358,-0.0400310165534035,0.0637845256881522,0.0752515750136989,0.0933565242594075,"Australia_WA_Wernberg-SJ4-18-5:Australia_WA_Wernberg","Houtman",10,5,1.11343198594344,1.30974541042793,"site_slope","Ecoregion","1900-2015"
