"","mean","se","p","lower_0.99","upper_0.99","lower_0.95","upper_0.95","lower_0.9","upper_0.9","lower_0.99_q","lower_0.95_q","lower_0.9_q","upper_0.9_q","upper_0.95_q","upper_0.99_q","SiteName","group_name","group_num","study_num","Rhat","Rhat_upper_CI","parameter","grouping","Period"
"1803",-0.177104266393747,0.164281805299522,0.138,-0.578945987464026,0.286548046336984,-0.490478377093271,0.145693716660756,-0.455760019097317,0.0674762861758452,-0.573529716503336,-0.471473975064576,-0.434903892762205,0.0964169564699727,0.164839210701169,0.291802642928117,NA,"Agulhas Bank",NA,NA,1.00576783808703,1.01454699149833,"mean_slope","Ecoregion","1900-2015"
"1804",-0.0711620098872261,0.00680848741338639,0,-0.0882536442494754,-0.0525226410091922,-0.0835476765223354,-0.0572763972383737,-0.0823377207161107,-0.0603352061545969,-0.0889623186307111,-0.0846357264296404,-0.0822762430941508,-0.0602298059957306,-0.0580697342526766,-0.0528235373440858,NA,"Aleutian Islands",NA,NA,1.00418673636191,1.01209078281422,"mean_slope","Ecoregion","1900-2015"
"1805",-0.015163793675258,0.00710058671159808,0.0145,-0.0330466671625589,0.00250840254761412,-0.0284909313202633,-0.00102398403121482,-0.026543681631403,-0.00347346805281513,-0.0340621738441333,-0.0292110681697354,-0.0269759572398912,-0.00368956874668993,-0.00149995009334551,0.00232531172709804,NA,"Bassian",NA,NA,1.00094844304502,1.00299002693247,"mean_slope","Ecoregion","1900-2015"
"1806",0.0270051889309335,0.2729764417794,0.5285,-0.725721045583391,0.786739258360828,-0.528163382341652,0.553942370555585,-0.412338456313978,0.4740292818971,-0.739987617276009,-0.505547907498117,-0.410016641557202,0.483626390620634,0.579610403445016,0.781964649956092,NA,"Beaufort Sea",NA,NA,1.00535495124779,1.01545499130238,"mean_slope","Ecoregion","1900-2015"
"1807",0.00537749581951307,0.00985738119398775,0.711,-0.0205020589010583,0.0314773244004391,-0.0137441079260659,0.0246841736748775,-0.0106286606924922,0.0214166881641977,-0.0204096365009374,-0.0136236783623728,-0.010387736404855,0.0217996769437639,0.0248194648619215,0.0315612599724004,NA,"Cape Howe",NA,NA,1.00170611039431,1.00561594640839,"mean_slope","Ecoregion","1900-2015"
"1808",-0.0103033807006179,0.0104094106197762,0.16325,-0.0384762564362711,0.0150803206265635,-0.0305635683349279,0.00978621363575388,-0.0270830360279194,0.00666968518289151,-0.037521715802583,-0.0305670159090201,-0.0270664020345652,0.00671640605101343,0.00973614802279934,0.0164914580684492,NA,"Celtic Seas",NA,NA,1.00295082848213,1.00779511537106,"mean_slope","Ecoregion","1900-2015"
"1809",-0.150058100019127,0.0859894748779231,0.03525,-0.401701486715952,0.0522069684963077,-0.320881318602957,0.0260309554288218,-0.282692635036796,-0.00435898232961889,-0.401708841551699,-0.345084131581581,-0.295295602781482,-0.0147815516756669,0.0108268906665277,0.05134024071025,NA,"Central Chile",NA,NA,1.00120439223985,1.00458321400736,"mean_slope","Ecoregion","1900-2015"
"1810",0.0141945663491477,0.040720853127234,0.6505,-0.0991244434760653,0.117938873357729,-0.0640170536848139,0.0965802439198794,-0.049784436746366,0.0831445690185909,-0.0940331875527306,-0.069149659143083,-0.0543063022551108,0.0801668922591283,0.0931270220796886,0.12651872484961,NA,"Gulf of Alaska",NA,NA,1.00006103353728,1.00144219502328,"mean_slope","Ecoregion","1900-2015"
"1811",-0.0281740743201881,0.0198713252485633,0.07675,-0.0753430706922148,0.0261377809606011,-0.0679633726553571,0.0088951817854365,-0.0605943926867555,0.00375545255875783,-0.0773438048306347,-0.0648378552280429,-0.0600477802143418,0.00502232989520381,0.0121102422639689,0.0253083843179335,NA,"Gulf of Maine",NA,NA,1.0007447386471,1.00279932348904,"mean_slope","Ecoregion","1900-2015"
"1812",0.0724358570412116,0.0571569778710147,0.90525,-0.104248021678094,0.22117240895609,-0.0394541363786899,0.180509588291064,-0.0167911142184929,0.165803466016969,-0.105610721084124,-0.0406393704746863,-0.0217497605621954,0.162655482844481,0.180096568923811,0.219251471606573,NA,"Gulf of St. Lawrence",NA,NA,1.00090234362287,1.00242667026088,"mean_slope","Ecoregion","1900-2015"
