"","group_name","mean","se","p","lower_0.99","upper_0.99","lower_0.95","upper_0.95","lower_0.9","upper_0.9","lower_0.99_q","lower_0.95_q","lower_0.9_q","upper_0.9_q","upper_0.95_q","upper_0.99_q","SiteName","group_num","study_num","Rhat","Rhat_upper_CI","parameter","grouping","Period","StudyName2","Site2","REALM"
"140","Bassian",-0.0244357784029757,0.0239575332850026,0.15325,-0.0837962824294173,0.0411445430599151,-0.0697314892014545,0.0249696058724807,-0.0633248883799796,0.015679532388324,-0.0873001825274353,-0.0710775305336805,-0.0640180184138674,0.0151330285665819,0.0236526420056266,0.0397322798664666,"KelpCover_Temperate_Australia-Blow Hole. Bicheno.Bicheno External.TAS.13-11-34:KelpCover_Temperate_Australia",3,26,1.00041853429524,1.00210911772883,"site_slope","Ecoregion","1900-2015","KelpCover_Temperate_Australia-Blow Hole. Bicheno.Bicheno External.TAS.13-11-34:KelpCover_Temperate_Australia",181,"Temperate Australasia"
"141","Bassian",-0.0225317722128088,0.0177775845050724,0.10925,-0.064763345167785,0.0234971130416545,-0.0575288675785193,0.0112279532614205,-0.0523689584320884,0.00622971024506593,-0.0655460950782352,-0.0565821410000539,-0.0515808655144489,0.00703991293454557,0.0126290990247489,0.0228773334782585,"KelpCover_Temperate_Australia-Green Bluff.Maria External.TAS.0-11-198:KelpCover_Temperate_Australia",3,26,1.00170086027835,1.00500317024072,"site_slope","Ecoregion","1900-2015","KelpCover_Temperate_Australia-Green Bluff.Maria External.TAS.0-11-198:KelpCover_Temperate_Australia",182,"Temperate Australasia"
"142","Bassian",-0.0223457054585138,0.0366548183560927,0.271,-0.112626819767623,0.0761809809773339,-0.0934342583010355,0.0480204815019767,-0.0795181946527866,0.0404140935018146,-0.113040689635963,-0.0919747139442165,-0.0828294041272148,0.038080956626434,0.0499650309448281,0.0759797932114074,"KelpCover_Temperate_Australia-West Head.Northern.TAS.22-11-544:KelpCover_Temperate_Australia",3,26,1.00115687872328,1.00494978650224,"site_slope","Ecoregion","1900-2015","KelpCover_Temperate_Australia-West Head.Northern.TAS.22-11-544:KelpCover_Temperate_Australia",183,"Temperate Australasia"
"143","Bassian",-0.0216343980152889,0.0176442641341193,0.11125,-0.0687389818190415,0.0208743558890897,-0.0550357809709298,0.012364920685272,-0.0512991197889338,0.00650433447558374,-0.0674334804413664,-0.0550362550460078,-0.050694624726691,0.00721399840641697,0.0123519986934083,0.0233282905472609,"KelpCover_Temperate_Australia-Magistrates Point South.Maria Island Reserve.TAS.1-11-286:KelpCover_Temperate_Australia",3,26,0.999913161676586,1.00123160526074,"site_slope","Ecoregion","1900-2015","KelpCover_Temperate_Australia-Magistrates Point South.Maria Island Reserve.TAS.1-11-286:KelpCover_Temperate_Australia",184,"Temperate Australasia"
"144","Bassian",-0.0208293442366834,0.0350469721081526,0.273,-0.108399825076745,0.0684585743224044,-0.0893573577061655,0.0482060305575352,-0.0782150526399292,0.0363864660218897,-0.107778609431706,-0.0891401202440574,-0.0780667022461927,0.0368667674024717,0.0493748480598091,0.0722166677567721,"KelpCover_Temperate_Australia-Cape Bougainville.Maria Island Vincinity.TAS.2-11-78:KelpCover_Temperate_Australia",3,26,1.00063138808545,1.00104518222446,"site_slope","Ecoregion","1900-2015","KelpCover_Temperate_Australia-Cape Bougainville.Maria Island Vincinity.TAS.2-11-78:KelpCover_Temperate_Australia",185,"Temperate Australasia"
"145","Bassian",-0.0198853029315,0.0177973183639389,0.13425,-0.0636705239785442,0.0238220473814372,-0.0553201023461063,0.0148993148987595,-0.0497750593834225,0.00948489744067611,-0.0628920571868445,-0.0551017767513783,-0.0496494806052331,0.00958598317979141,0.0153122143051061,0.0267584547661979,"KelpCover_Temperate_Australia-Lucas Point.Tinderbox External.TAS.4-11-282:KelpCover_Temperate_Australia",3,26,1.00000988376987,1.00074134526973,"site_slope","Ecoregion","1900-2015","KelpCover_Temperate_Australia-Lucas Point.Tinderbox External.TAS.4-11-282:KelpCover_Temperate_Australia",186,"Temperate Australasia"
"146","Bassian",-0.0194957117744531,0.016964093476337,0.127,-0.0625948503501478,0.0236666073945462,-0.0527446208535108,0.0133565129577538,-0.0467732367294385,0.00850552071788229,-0.0631214506623144,-0.0526223338151857,-0.0474015241110849,0.00819948316182388,0.0135980835725672,0.0232475413256193,"KelpCover_Temperate_Australia-Okehampton Bay.Maria Island Vincinity.TAS.2-11-360:KelpCover_Temperate_Australia",3,26,1.00024444603549,1.00065442580807,"site_slope","Ecoregion","1900-2015","KelpCover_Temperate_Australia-Okehampton Bay.Maria Island Vincinity.TAS.2-11-360:KelpCover_Temperate_Australia",187,"Temperate Australasia"
"147","Bassian",-0.0191522343519421,0.0442095937723484,0.335,-0.129760038143685,0.0991447832191928,-0.110742428666313,0.0638174679085538,-0.0991992069003705,0.0472049123400595,-0.134290778310359,-0.108387991592565,-0.0950488301399273,0.0519264814190891,0.0671174133776352,0.0960807021720992,"KelpCover_Temperate_Australia-Inner Saddle South West Point.Port Davey.TAS.16-11-234:KelpCover_Temperate_Australia",3,26,1.0013245173018,1.0046425016013,"site_slope","Ecoregion","1900-2015","KelpCover_Temperate_Australia-Inner Saddle South West Point.Port Davey.TAS.16-11-234:KelpCover_Temperate_Australia",188,"Temperate Australasia"
"148","Bassian",-0.0191268282873494,0.0495937350562748,0.3545,-0.149993023844107,0.109995998743747,-0.111417176851222,0.0861316982641243,-0.100727417130675,0.0623432488304354,-0.156552032168247,-0.122006831,-0.101860878916869,0.0615112967042354,0.0787746061884852,0.10445816151937,"KelpCover_Temperate_Australia-Lonsdale Kelp Outer.Port Phillip Heads.VIC.28-11-274:KelpCover_Temperate_Australia",3,26,0.999670519489019,1.00060652303897,"site_slope","Ecoregion","1900-2015","KelpCover_Temperate_Australia-Lonsdale Kelp Outer.Port Phillip Heads.VIC.28-11-274:KelpCover_Temperate_Australia",189,"Temperate Australasia"
"149","Bassian",-0.0189410935751235,0.0357871900725438,0.30575,-0.107793225176397,0.0726521003673223,-0.0885773839447293,0.0521601173410604,-0.0761658055496856,0.0400676607366987,-0.110009037766579,-0.0914482382499742,-0.0783081317993523,0.0384822876388188,0.0499083270706032,0.0718493079885945,"KelpCover_Australia_Victoria-The Oaks Beach, Bunurong-26-67:KelpCover_Australia_Victoria",3,25,1.0012266864797,1.00341288214239,"site_slope","Ecoregion","1900-2015","KelpCover_Australia_Victoria-The Oaks Beach, Bunurong-26-67:KelpCover_Australia_Victoria",190,"Temperate Australasia"
