"","mean","se","p","lower_0.99","upper_0.99","lower_0.95","upper_0.95","lower_0.9","upper_0.9","lower_0.99_q","lower_0.95_q","lower_0.9_q","upper_0.9_q","upper_0.95_q","upper_0.99_q","SiteName","group_name","group_num","study_num","Rhat","Rhat_upper_CI","parameter","grouping","Period","study_ID","Study","Site","trajectory_ID","Latitude","Longitude","mean_Depth","Duration","ECOREGION","durBox","posNeg"
"1",-0.0623615862837571,0.0620421995887557,0.15525,-0.213355973560392,0.0958074410054598,-0.181058429884984,0.0603395105951998,-0.164387058473946,0.0406265843784355,-0.212956669104486,-0.180934266632743,-0.164771647112288,0.0405592699702548,0.0603523100215844,0.0958126048939675,"Andrew_Jones_1990-Sydney_2-13-8:Andrew_Jones_1990","Manning-Hawkesbury",14,3,1.00959019347092,1.02869848428264,"site_slope","Ecoregion","1900-2015",13,"Andrew_Jones_1990","Sydney_2",8,-34.01018,151.23199,5,3,"Manning-Hawkesbury","(-1,20]",0
"2",-0.00844188841966203,0.0332328408559277,0.39475,-0.0935867391160936,0.0811132876640216,-0.0722153748827295,0.0564561725067319,-0.0619032091773276,0.0466653963052877,-0.0991925546682314,-0.0726237310293125,-0.0621197292872506,0.0465443394702383,0.0560658415372236,0.0784797107324106,"Aus_Marmion-Marmion-13-9:Aus_Marmion","Houtman",11,4,1.00049553570394,1.00334415312374,"site_slope","Ecoregion","1900-2015",13,"Aus_Marmion","Marmion",9,-31.833333,115.7,5,4,"Houtman","(-1,20]",0
"3",0.000857647869642873,0.0358778919432064,0.5235,-0.0913950396427843,0.0996679929792054,-0.0674141992285001,0.0714026039026635,-0.0587558451454651,0.0577075838300177,-0.090096775623102,-0.0674182213552784,-0.0582825400690642,0.0585814886196784,0.0713789605918854,0.100475545466208,"Australia_WA_Wernberg-SH3-18-1:Australia_WA_Wernberg","Leeuwin",13,5,1.00353659685902,1.01202710373372,"site_slope","Ecoregion","1900-2015",18,"Australia_WA_Wernberg","SH3",1,-34.13873,115.00818,11,5,"Leeuwin","(-1,20]",0
"4",0.0188263306175285,0.0357290318796238,0.70475,-0.0723606184091527,0.112935060655527,-0.0495720331021295,0.0885345161256769,-0.0432996446319586,0.074624758289217,-0.0767460916485168,-0.0508449156649523,-0.0408207175513765,0.0784321765005753,0.0876360275377948,0.111826241335044,"Australia_WA_Wernberg-SH4-18-2:Australia_WA_Wernberg","Leeuwin",13,5,1.00028882363919,1.00106261991968,"site_slope","Ecoregion","1900-2015",18,"Australia_WA_Wernberg","SH4",2,-34.16158,115.01118,10,5,"Leeuwin","(-1,20]",0
"5",0.0067752011135549,0.0366826218297733,0.55475,-0.0932653079775511,0.103732388459758,-0.0613612144008331,0.0821611091065754,-0.0572974401676754,0.0642613934298166,-0.0975855804694081,-0.0635190967981243,-0.0536091550827845,0.0694446257259639,0.0806920084308048,0.102197182139011,"Australia_WA_Wernberg-SH5-18-3:Australia_WA_Wernberg","Leeuwin",13,5,1.00194074583741,1.00516148716276,"site_slope","Ecoregion","1900-2015",18,"Australia_WA_Wernberg","SH5",3,-34.15268,115.00458,12,5,"Leeuwin","(-1,20]",0
"6",-0.0119971251402592,0.0329031881847742,0.34875,-0.0932666611413137,0.0770846829718459,-0.0744196055856103,0.0539008309949602,-0.0653060559924057,0.0429422275353446,-0.093842483698835,-0.0746703385113742,-0.0645330429261077,0.0440045566986426,0.0537077956134023,0.0754033549730687,"Australia_WA_Wernberg-SJ1-18-4:Australia_WA_Wernberg","Houtman",11,5,1.00336182778229,1.00991170667752,"site_slope","Ecoregion","1900-2015",18,"Australia_WA_Wernberg","SJ1",4,-30.15855,114.58619,9,5,"Houtman","(-1,20]",0
"7",0.0115077466925094,0.0323978833157555,0.64275,-0.0675775755577461,0.101164489410794,-0.0545337796137016,0.0721377487019814,-0.0460301182231364,0.0601891424436419,-0.0695889499960132,-0.0503037201032271,-0.0414393342029218,0.0648839430551036,0.0767939320957896,0.0987650018227488,"Australia_WA_Wernberg-SJ4-18-5:Australia_WA_Wernberg","Houtman",11,5,1.00139090392974,1.0057523350527,"site_slope","Ecoregion","1900-2015",18,"Australia_WA_Wernberg","SJ4",5,-30.18504,114.58303,12,5,"Houtman","(-1,20]",0
"8",-0.0134897265007101,0.0338207432382898,0.339,-0.101439994872442,0.0704090579148229,-0.079466213364003,0.0537486758826894,-0.0673508548106762,0.0429241967872236,-0.0977895867129533,-0.0784772185398124,-0.0689951698394204,0.041581330948163,0.0555986884434091,0.0737852156322839,"Australia_WA_Wernberg-SJ5-18-6:Australia_WA_Wernberg","Houtman",11,5,1.00095996392563,1.00264226393363,"site_slope","Ecoregion","1900-2015",18,"Australia_WA_Wernberg","SJ5",6,-30.183,114.59269,10,5,"Houtman","(-1,20]",0
"9",-0.0539639312234548,0.0188626843773467,0.00325,-0.10379576267768,-0.00268187137842822,-0.0899403590361492,-0.0159256481124724,-0.0842452070335844,-0.0236994490607443,-0.107433883843825,-0.0896549791601491,-0.0834743619430972,-0.0226382717903572,-0.0155566717040198,-0.00385802489811468,"autralia_connell_canopyLoss-Horeshoe-27-1:autralia_connell_canopyLoss","South Australian Gulfs",22,6,0.999370719993207,0.999530332425991,"site_slope","Ecoregion","1900-2015",27,"autralia_connell_canopyLoss","Horeshoe",1,-35.133315,138.466345,7.5,39,"South Australian Gulfs","(20,70]",-1
"10",-0.0443957798106838,0.0188553264592089,0.012,-0.0960102098599656,0.0104030412329643,-0.083454507731705,-0.00803630835368447,-0.0743407364546151,-0.0132002045344735,-0.0987075498097354,-0.0828103881649251,-0.0750589398743757,-0.0137638736270485,-0.00734948457414529,0.00981205142942625,"autralia_connell_canopyLoss-Noarlunga-27-2:autralia_connell_canopyLoss","South Australian Gulfs",22,6,1.00026225837074,1.00281056715065,"site_slope","Ecoregion","1900-2015",27,"autralia_connell_canopyLoss","Noarlunga",2,-35.149593,138.464168,7.5,40,"South Australian Gulfs","(20,70]",-1
