"X","study_ID","Study","Site","Latitude","Longitude","max_Depth","mean_Depth","min_Depth","trajectory_ID","sample_size","sample_unit_size_sq_m","year","period","rawDate","sasDate","biomass_KG_wet_per_sq_m","Stipe_Density_num_per_sq_m","individual_per_sq_m","percent_cover","biomass_KG_wet_per_sq_m_STD","Stipe_Density_num_per_sq_m_STD","individual_per_sq_m_STD","percent_cover_STD","focalKelp","focalKelp_STD","focalUnit","elapsed","ROC","len","ECOREGION","PROVINCE","REALM","StudySite","Date","DaysSince1900","YearsSince1900","Decade","stdByECOREGION","stdByECOREGIONZ","ln_stdByECOREGION","stdByREALM","stdByREALMZ","ln_stdByREALM","stdByPROVINCE","stdByPROVINCEZ","ln_stdByPROVINCE","realLatByRealm","num_years","ProvinceSite","EcoregionSite","julian","meanjul","SiteN","StudyN","ProvinceN","EcoregionN"
558,4,"Konar_Beaufort_Sea","Prudhoe.Bay.DS11",70.3291667,-147.59722,6,6,6,6,5,0.25,2003,1,15932,2003-08-15,0.094401,NA,NA,NA,0.049152,NA,NA,NA,0.0944013333,0.0491520861,4,NA,NA,5,"Beaufort Sea - continental coast and shelf","Arctic","Arctic","Konar_Beaufort_Sea-Prudhoe.Bay.DS11-4-6",20030815,37846,103.616700889802,2000,0.778631914384691,2.21106668824911,2.20019071297107,0.0210946729180105,0.0674940902997781,-1.40832717054807,0.0210946729180105,0.0674940902997781,-1.40832717054807,23.6624997,4,"Arctic:Prudhoe.Bay.DS11","Beaufort Sea - continental coast and shelf:Prudhoe.Bay.DS11",12279,13009.8,471,31,2,4
559,4,"Konar_Beaufort_Sea","Prudhoe.Bay.DS11",70.3291667,-147.59722,5,5,5,6,15,0.46,2004,2,16298,2004-08-15,0.0096,0.666667,0.666667,0.08,0.029433,0.934353,0.934353,0.044721,0.0096,0.0294328279,4,366,-2.281108099,5,"Beaufort Sea - continental coast and shelf","Arctic","Arctic","Konar_Beaufort_Sea-Prudhoe.Bay.DS11-4-6",20040815,38212,104.618754277892,2000,0.0791817881887166,0.224851063699875,2.11953743959735,0.00214519067616708,0.00686370885058113,-1.48898044392179,0.00214519067616708,0.00686370885058113,-1.48898044392179,23.6624997,4,"Arctic:Prudhoe.Bay.DS11","Beaufort Sea - continental coast and shelf:Prudhoe.Bay.DS11",12645,13009.8,471,31,2,4
560,4,"Konar_Beaufort_Sea","Prudhoe.Bay.DS11",70.3291667,-147.59722,5,5,5,6,28,0.48,2005,3,16663,2005-08-15,0.08126,4,4,1.7,0.097502,4.752708,4.752708,1.05935,0.08126,0.0975020023,4,365,2.137353731,5,"Beaufort Sea - continental coast and shelf","Arctic","Arctic","Konar_Beaufort_Sea-Prudhoe.Bay.DS11-4-6",20050815,38577,105.618069815195,2000,0.670240844605741,1.90327056627623,2.18811025456863,0.0181581452443059,0.0580984355414816,-1.4204076289505,0.0181581452443059,0.0580984355414816,-1.4204076289505,23.6624997,4,"Arctic:Prudhoe.Bay.DS11","Beaufort Sea - continental coast and shelf:Prudhoe.Bay.DS11",13010,13009.8,471,31,2,4
561,4,"Konar_Beaufort_Sea","Prudhoe.Bay.DS11",70.3291667,-147.59722,5,5,5,6,30,0.46,2006,4,17028,2006-08-15,0.097233,2.4,2.4,0.2,0.132229,2.871981,2.871981,0.421637,0.0972333333,0.1322291109,4,365,0.1795826152,5,"Beaufort Sea - continental coast and shelf","Arctic","Arctic","Konar_Beaufort_Sea-Prudhoe.Bay.DS11-4-6",20060815,38942,106.617385352498,2000,0.801990541900363,2.27739775204057,2.20277508674413,0.0217275041674798,0.0695188844106995,-1.40574279677501,0.0217275041674798,0.0695188844106995,-1.40574279677501,23.6624997,4,"Arctic:Prudhoe.Bay.DS11","Beaufort Sea - continental coast and shelf:Prudhoe.Bay.DS11",13375,13009.8,471,31,2,4
562,4,"Konar_Beaufort_Sea","Prudhoe.Bay.DS11",70.3291667,-147.59722,5,5,5,6,15,0.46,2007,5,17393,2007-08-15,0.10502,2.1,2.1,7,0.210679,3.631214,3.631214,2.738613,0.10502,0.210679334,4,365,0.0770899852,5,"Beaufort Sea - continental coast and shelf","Arctic","Arctic","Konar_Beaufort_Sea-Prudhoe.Bay.DS11-4-6",20070815,39307,107.616700889802,2000,0.866215770372814,2.45977694893342,2.20984666114597,0.0234674921678195,0.0750861149466699,-1.39867122237317,0.0234674921678195,0.0750861149466699,-1.39867122237317,23.6624997,4,"Arctic:Prudhoe.Bay.DS11","Beaufort Sea - continental coast and shelf:Prudhoe.Bay.DS11",13740,13009.8,471,31,2,4
563,4,"Konar_Beaufort_Sea","Prudhoe.Bay.E1",70.315,-147.732,6,6,6,7,5,0.25,2003,1,15932,2003-08-15,0.014667,NA,NA,NA,0.022862,NA,NA,NA,0.0146666667,0.0228619043,4,NA,NA,3,"Beaufort Sea - continental coast and shelf","Arctic","Arctic","Konar_Beaufort_Sea-Prudhoe.Bay.E1-4-7",20030815,37846,103.616700889802,2000,0.120972176674365,0.343522459211097,2.12454337815672,0.00327737465159273,0.0104862218788868,-1.48397450536242,0.00327737465159273,0.0104862218788868,-1.48397450536242,23.648333,3,"Arctic:Prudhoe.Bay.E1","Beaufort Sea - continental coast and shelf:Prudhoe.Bay.E1",12279,12888,472,31,2,4
564,4,"Konar_Beaufort_Sea","Prudhoe.Bay.E1",70.315,-147.732,5,5,5,7,13,0.22,2005,2,16663,2005-08-15,0.0051,0.307692,0.307692,NA,0.016128,1.1094,1.1094,NA,0.0051,0.0161276161,4,731,-0.527807138,3,"Beaufort Sea - continental coast and shelf","Arctic","Arctic","Konar_Beaufort_Sea-Prudhoe.Bay.E1-4-7",20050815,38577,105.618069815195,2000,0.0420653249752557,0.119452127590559,2.11507026584109,0.00113963254671376,0.00364634532687123,-1.49344761767804,0.00113963254671376,0.00364634532687123,-1.49344761767804,23.648333,3,"Arctic:Prudhoe.Bay.E1","Beaufort Sea - continental coast and shelf:Prudhoe.Bay.E1",13010,12888,472,31,2,4
565,4,"Konar_Beaufort_Sea","Prudhoe.Bay.E1",70.315,-147.732,5,5,5,7,20,0.19,2006,3,17028,2006-08-15,0.008487,0.6,0.6,0,0.01983,1.313893,1.313893,0,0.0084866667,0.0198304521,4,365,0.50960457,3,"Beaufort Sea - continental coast and shelf","Arctic","Arctic","Konar_Beaufort_Sea-Prudhoe.Bay.E1-4-7",20060815,38942,106.617385352498,2000,0.0699989005278786,0.198774586954303,2.11843408419511,0.00189640815381017,0.00606770930632523,-1.49008379932403,0.00189640815381017,0.00606770930632523,-1.49008379932403,23.648333,3,"Arctic:Prudhoe.Bay.E1","Beaufort Sea - continental coast and shelf:Prudhoe.Bay.E1",13375,12888,472,31,2,4
568,4,"Konar_Beaufort_Sea","Prudhoe.Bay.E3",70.325,-147.649,5,5,5,9,15,0.46,2004,1,16298,2004-08-15,0.017333,0.844444,0.844444,0.6,0.042653,1.6372,1.6372,0.894427,0.0173333333,0.0426527755,4,NA,NA,4,"Beaufort Sea - continental coast and shelf","Arctic","Arctic","Konar_Beaufort_Sea-Prudhoe.Bay.E3-4-9",20040815,38212,104.618754277892,2000,0.142967117288024,0.405981086455152,2.12716805151387,0.00387326093563087,0.0123928076230503,-1.48134983200527,0.00387326093563087,0.0123928076230503,-1.48134983200527,23.658333,3,"Arctic:Prudhoe.Bay.E3","Beaufort Sea - continental coast and shelf:Prudhoe.Bay.E3",12645,13192.5,473,31,2,4
569,4,"Konar_Beaufort_Sea","Prudhoe.Bay.E3",70.325,-147.649,5,5,5,9,20,0.19,2005,2,16663,2005-08-15,0.01504,1.6,1.6,NA,0.025623,3.283131,3.283131,NA,0.01504,0.0256232186,4,365,-0.142015316,4,"Beaufort Sea - continental coast and shelf","Arctic","Arctic","Konar_Beaufort_Sea-Prudhoe.Bay.E3-4-9",20050815,38577,105.618069815195,2000,0.124051468162323,0.352266666463137,2.12491124737677,0.00336079872599509,0.0107531438659104,-1.48360663614236,0.00336079872599509,0.0107531438659104,-1.48360663614236,23.658333,3,"Arctic:Prudhoe.Bay.E3","Beaufort Sea - continental coast and shelf:Prudhoe.Bay.E3",13010,13192.5,473,31,2,4
